# Simulation 1 (Up to date)
# 286 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.211e-4,-0.084,-8.422,0.084,8.422,0,0,0,0,0,0,92.255,0,0,0,111.389,0.153,-4.245e-7
0.02,-2.841e-4,-0.057,-5.683,0.057,5.683,0,0,0,0,0,0,91.496,0,0,0,111.383,0.458,-1.29e-7
0.03,-1.471e-4,-0.029,-2.942,0.029,2.942,0,0,0,0,0,0,90.762,0,0,0,111.377,0.763,-1.771e-8
0.04,5.008e-5,0.01,1.004,0.01,1.004,0,0,0,0,0,0,89.744,0,0,0,111.345,1.202,0
0.05,4.855e-4,0.077,6.707,0.077,6.707,0,0,0,0,0,0,88.067,0,0,0,111.31,1.836,3.031e-7
0.06,0.002,0.201,12.428,0.201,12.428,0,0,0,0,0,0,85,0,0,0,111.274,2.473,5.18e-6
0.07,0.005,0.383,18.153,0.383,18.153,0,0,0,0,0,0,80.626,0,0,0,111.239,3.109,3.359e-5
0.08,0.01,0.622,23.881,0.622,23.881,0,0,0,0,0,0,75.104,0,0,0,111.203,3.745,1.332e-4
0.09,0.018,0.918,29.611,0.918,29.611,0,0,0,0,0,0,68.708,0,0,0,111.168,4.381,3.897e-4
# Event LIFTOFF occurred at t=0.1 seconds
0.1,0.029,1.284,36.659,1.284,36.659,0,0,0,0,0,0,61.576,0,0,0,111.089,5.161,9.495e-4
0.11,0.044,1.748,46.401,1.748,46.401,0,0,0,0,0,0,53.628,0,0,0,110.998,6.239,0.002
0.12,0.064,2.31,56.232,2.31,56.232,0,0,0,0,0,0,45.782,0,0,0,110.908,7.327,0.004
0.13,0.09,2.971,66.069,2.971,66.069,0,0,0,0,0,0,38.64,0,0,0,110.818,8.414,0.007
0.14,0.124,3.729,75.901,3.729,75.901,0,0,0,0,0,0,32.497,0,0,0,110.721,9.5,0.012
0.15,0.165,4.571,84.163,4.571,84.163,0,0,0,0,0,0,27.471,0,0,0,110.574,10.406,0.017
0.16,0.216,5.484,91.321,5.484,91.321,0,0,0,0,0,0,23.444,0,0,0,110.427,11.19,0.024
0.17,0.275,6.468,98.485,6.468,98.485,0,0,0,0,0,0,20.198,0,0,0,110.28,11.974,0.033
0.18,0.345,7.524,105.654,7.524,105.654,0,0,0,0,0,0,17.56,0,0,0,110.133,12.758,0.043
0.19,0.426,8.652,112.829,8.652,112.829,0,0,0,0,0,0,15.397,0,0,0,109.986,13.541,0.055
0.2,0.518,9.784,113.21,9.784,113.21,0,0,0,0,0,0,13.695,0,0,0,109.831,13.577,0.067
0.21,0.621,10.779,99.511,10.779,99.511,0,0,0,0,0,0,12.39,0,0,0,109.679,12.067,0.078
0.219,0.725,11.561,84.36,11.561,84.36,0,0,0,0,0,0,11.502,0,0,0,109.572,10.404,0.088
0.228,0.827,12.159,69.248,12.159,69.248,0,0,0,0,0,0,10.886,0,0,0,109.472,8.748,0.095
0.236,0.929,12.625,56.655,12.625,56.655,0,0,0,0,0,0,10.435,0,0,0,109.394,7.37,0.101
# Event LAUNCHROD occurred at t=0.244 seconds
0.244,1.031,13.026,50.713,13.026,50.713,0,0,0,0,0,0,10.065,0,0,0,109.328,6.722,0.107
0.254,1.168,13.498,45.701,13.498,45.781,-1.443e-4,0,1.443e-4,-180,0.028,2.714,9.536,0,0.011,1.376e-7,109.25,6.176,0.113
0.264,1.306,13.94,43.889,13.94,43.969,-5.639e-4,0,5.639e-4,-180,0.055,2.661,9.049,0,0.022,-2.485e-7,109.179,5.979,0.119
0.274,1.446,14.362,42.497,14.362,42.574,-0.001,0,0.001,-180,0.081,2.555,8.567,0,0.034,-2.478e-7,109.108,5.829,0.125
0.284,1.59,14.766,41.123,14.767,41.193,-0.002,0,0.002,-180,0.106,2.401,8.082,0,0.045,-3.027e-7,109.038,5.68,0.13
0.294,1.737,15.158,39.771,15.158,39.831,-0.003,0,0.003,-180,0.128,2.198,7.589,0,0.056,-9.149e-7,108.969,5.534,0.135
0.304,1.889,15.544,38.881,15.544,38.928,-0.005,-5.876e-9,0.005,-180,0.149,1.92,7.029,0,0.067,-1.887e-6,108.906,5.438,0.14
0.314,2.049,15.932,38.201,15.933,38.232,-0.006,-8.613e-9,0.006,-180,0.167,1.552,6.37,0,0.078,-3.79e-7,108.841,5.365,0.145
0.325,2.221,16.333,37.493,16.334,37.51,-0.008,-1.156e-8,0.008,-180,0.181,1.115,5.675,0,0.088,-5.66e-8,108.773,5.289,0.15
0.336,2.41,16.751,36.739,16.753,36.744,-0.01,-1.477e-8,0.01,-180,0.191,0.599,4.93,0,0.099,1.347e-6,108.7,5.208,0.155
0.349,2.622,17.2,35.915,17.201,35.915,-0.013,-1.887e-8,0.013,-180,0.195,0.02,4.111,8.127e-9,0.11,1.242e-6,108.621,5.121,0.16
0.363,2.871,17.7,34.975,17.701,34.982,-0.015,-2.502e-8,0.015,-180,0.19,0.696,3.364,-5.028e-9,0.12,-8.555e-7,108.53,5.024,0.167
0.38,3.171,18.266,33.94,18.267,33.975,-0.018,-3.462e-8,0.018,-180,0.172,1.538,2.507,1.017e-8,0.13,2.16e-6,108.43,4.919,0.176
0.401,3.57,18.976,32.982,18.977,33.095,-0.022,-5.109e-8,0.022,-180,0.127,2.723,1.398,-3.058e-8,0.138,-6.633e-7,108.306,4.829,0.188
0.433,4.198,19.999,31.573,19.999,31.92,-0.024,-8.249e-8,0.024,-180,0.008,4.693,0.463,-1.074e-7,-0.14,1.231e-5,108.122,4.708,0.207
0.482,5.199,21.433,29.319,21.435,30.199,-0.018,-1.188e-7,0.018,-180,0.281,7.236,2.385,-1.105e-7,-0.114,3.847e-6,107.847,4.529,0.242
