# Simulation 1 (Up to date)
# 279 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.211e-4,-0.084,-8.422,0.084,8.422,0,0,0,0,0,0,92.449,0,0,0,111.389,0.153,-4.654e-7
0.02,-2.841e-4,-0.057,-5.683,0.057,5.683,0,0,0,0,0,0,91.667,0,0,0,111.383,0.458,-1.456e-7
0.03,-1.471e-4,-0.029,-2.942,0.029,2.942,0,0,0,0,0,0,90.871,0,0,0,111.377,0.763,-2.059e-8
0.04,5.008e-5,0.01,1.004,0.01,1.004,0,0,0,0,0,0,89.701,0,0,0,111.345,1.202,0
0.05,4.855e-4,0.077,6.707,0.077,6.707,0,0,0,0,0,0,87.679,0,0,0,111.31,1.836,3.717e-7
0.06,0.002,0.201,12.428,0.201,12.428,0,0,0,0,0,0,83.938,0,0,0,111.274,2.473,6.381e-6
0.07,0.005,0.383,18.153,0.383,18.153,0,0,0,0,0,0,78.551,0,0,0,111.239,3.109,4.133e-5
0.08,0.01,0.622,23.881,0.622,23.881,0,0,0,0,0,0,71.747,0,0,0,111.203,3.745,1.626e-4
0.09,0.018,0.918,29.61,0.918,29.61,0,0,0,0,0,0,63.973,0,0,0,111.168,4.381,4.688e-4
# Event LIFTOFF occurred at t=0.1 seconds
0.1,0.029,1.284,36.658,1.284,36.658,0,0,0,0,0,0,55.578,0,0,0,111.089,5.161,0.001
0.11,0.044,1.748,46.398,1.748,46.398,0,0,0,0,0,0,47.028,0,0,0,110.998,6.239,0.002
0.12,0.064,2.31,56.229,2.31,56.229,0,0,0,0,0,0,39.12,0,0,0,110.908,7.327,0.004
0.13,0.09,2.97,66.066,2.97,66.066,0,0,0,0,0,0,32.344,0,0,0,110.818,8.414,0.008
0.14,0.124,3.729,75.899,3.729,75.899,0,0,0,0,0,0,26.796,0,0,0,110.721,9.5,0.012
0.15,0.165,4.571,84.163,4.571,84.163,0,0,0,0,0,0,22.422,0,0,0,110.574,10.406,0.017
0.16,0.216,5.483,91.325,5.483,91.325,0,0,0,0,0,0,19.02,0,0,0,110.427,11.19,0.024
0.17,0.275,6.468,98.495,6.468,98.495,0,0,0,0,0,0,16.326,0,0,0,110.28,11.974,0.032
0.18,0.345,7.524,105.673,7.524,105.673,0,0,0,0,0,0,14.163,0,0,0,110.133,12.758,0.041
0.19,0.426,8.653,112.858,8.653,112.858,0,0,0,0,0,0,12.405,0,0,0,109.986,13.541,0.052
0.2,0.518,9.785,113.248,9.785,113.248,0,0,0,0,0,0,11.031,0,0,0,109.831,13.577,0.063
0.21,0.621,10.78,99.554,10.78,99.554,0,0,0,0,0,0,10.001,0,0,0,109.679,12.067,0.074
0.219,0.725,11.562,84.407,11.562,84.407,0,0,0,0,0,0,9.308,0,0,0,109.572,10.404,0.083
0.228,0.827,12.161,69.299,12.161,69.299,0,0,0,0,0,0,8.832,0,0,0,109.472,8.748,0.09
0.236,0.929,12.627,56.707,12.627,56.707,0,0,0,0,0,0,8.488,0,0,0,109.394,7.371,0.096
# Event LAUNCHROD occurred at t=0.244 seconds
0.244,1.031,13.029,50.765,13.029,50.765,0,0,0,0,0,0,8.208,0,0,0,109.328,6.722,0.101
0.256,1.189,13.571,45.587,13.571,45.636,-1.5e-4,0,1.5e-4,-180,0.025,2.13,7.754,0,0.011,-6.091e-7,109.239,6.158,0.109
0.268,1.357,14.1,43.57,14.1,43.62,-6.128e-4,0,6.128e-4,-180,0.051,2.083,7.316,0,0.022,-1.126e-7,109.153,5.94,0.116
0.28,1.527,14.597,41.897,14.598,41.943,-0.001,0,0.001,-180,0.075,1.976,6.878,0,0.033,-5.971e-8,109.068,5.76,0.123
0.292,1.701,15.07,40.252,15.07,40.292,-0.002,0,0.002,-180,0.097,1.812,6.433,0,0.044,3.183e-7,108.984,5.582,0.129
0.303,1.881,15.528,39.007,15.529,39.04,-0.004,-5.186e-9,0.004,-180,0.117,1.594,5.983,0,0.055,-1.603e-7,108.909,5.449,0.136
0.315,2.068,15.982,38.197,15.982,38.22,-0.005,-9.593e-9,0.005,-180,0.135,1.324,5.535,0,0.066,-1.365e-8,108.834,5.363,0.142
0.327,2.264,16.434,37.372,16.435,37.386,-0.007,-1.628e-8,0.007,-180,0.149,0.991,5.057,0,0.077,1.987e-6,108.756,5.275,0.149
0.34,2.473,16.892,36.523,16.893,36.527,-0.009,-2.648e-8,0.009,-180,0.159,0.588,4.542,0,0.088,3.909e-7,108.677,5.186,0.156
0.353,2.699,17.363,35.63,17.364,35.63,-0.011,-4.201e-8,0.011,-180,0.164,0.095,3.961,-5.305e-9,0.099,5.213e-7,108.592,5.092,0.163
0.368,2.953,17.863,34.663,17.864,34.667,-0.013,-6.531e-8,0.013,-180,0.161,0.529,3.253,0,0.109,-4.737e-7,108.5,4.991,0.17
0.384,3.256,18.427,33.709,18.427,33.735,-0.016,-9.992e-8,0.016,-180,0.146,1.325,2.422,0,0.119,1.318e-6,108.403,4.895,0.179
0.406,3.66,19.134,32.79,19.134,32.883,-0.019,-1.558e-7,0.019,-180,0.106,2.465,1.307,-7.434e-9,0.128,1.608e-6,108.28,4.808,0.19
0.438,4.294,20.153,31.402,20.153,31.697,-0.02,-2.676e-7,0.02,-179.999,0.002,4.314,0.453,1.114e-7,-0.129,-7.248e-6,108.095,4.687,0.21
0.486,5.304,21.583,29.248,21.585,29.976,-0.014,-5.226e-7,0.014,-179.998,0.267,6.568,2.048,-1.735e-7,-0.106,9.58e-6,107.822,4.51,0.244
0.502,5.639,22.02,28.312,22.023,29.208,-0.009,-6.348e-7,0.009,-179.996,0.373,7.178,2.433,0,-0.094,-1.769e-6,107.739,4.429,0.255
0.515,5.928,22.385,28.021,22.39,29.066,-0.004,-7.412e-7,0.004,-179.989,0.47,7.727,2.784,-1.193e-8,-0.082,7.983e-7,107.67,4.416,0.265
0.526,6.18,22.696,27.778,22.703,28.945,0.002,-8.426e-7,0.002,-0.028,0.558,8.135,3.025,0,-0.07,-2.381e-6,107.611,4.404,0.274
