# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
0.01,-4.21E-04,0,0,0,0,0
0.02,-2.84E-04,0,0,0,0,0
0.03,-1.47E-04,0,0,0,0,0
0.04,5.01E-05,0,0,0,0,0
0.05,4.86E-04,0,0,0,0,0
0.06,0.002,0,0,0,0,0
0.07,0.005,0,0,0,0,0
0.08,0.01,0,0,0,0,0
0.09,0.018,0,0,0,0,0
0.1,0.029,0,0,0,0,0
0.11,0.044,0,0,0,0,0
0.12,0.064,0,0,0,0,0
0.13,0.09,0,0,0,0,0
0.14,0.124,0,0,0,0,0
0.15,0.165,0,0,0,0,0
0.16,0.216,0,0,0,0,0
0.17,0.275,0,0,0,0,0
0.18,0.345,0,0,0,0,0
0.19,0.426,0,0,0,0,0
0.2,0.518,0,0,0,0,0
0.21,0.621,0,0,0,0,0
0.219,0.725,0,0,0,0,0
0.228,0.827,0,0,0,0,0
0.236,0.929,0,0,0,0,0
0.244,1.031,0,0,0,0,0
0.256,1.189,-1.50E-04,0,0,0.011,-6.09E-07
0.268,1.357,-6.13E-04,0,0,0.022,-1.13E-07
0.28,1.527,-0.001,0,0,0.033,-5.97E-08
0.292,1.701,-0.002,0,0,0.044,3.18E-07
0.303,1.881,-0.004,-5.19E-09,0,0.055,-1.60E-07
0.315,2.068,-0.005,-9.59E-09,0,0.066,-1.37E-08
0.327,2.264,-0.007,-1.63E-08,0,0.077,1.99E-06
0.34,2.473,-0.009,-2.65E-08,0,0.088,3.91E-07
0.353,2.699,-0.011,-4.20E-08,-5.31E-09,0.099,5.21E-07
0.368,2.953,-0.013,-6.53E-08,0,0.109,-4.74E-07
0.384,3.256,-0.016,-9.99E-08,0,0.119,1.32E-06
0.406,3.66,-0.019,-1.56E-07,-7.43E-09,0.128,1.61E-06
0.438,4.294,-0.02,-2.68E-07,1.11E-07,-0.129,-7.25E-06
0.486,5.304,-0.014,-5.23E-07,-1.74E-07,-0.106,9.58E-06
0.502,5.639,-0.009,-6.35E-07,0,-0.094,-1.77E-06
0.515,5.928,-0.004,-7.41E-07,-1.19E-08,-0.082,7.98E-07
0.526,6.18,0.002,-8.43E-07,0,-0.07,-2.38E-06
0.536,6.41,0.008,-9.43E-07,-5.43E-09,-0.059,-8.76E-07
0.545,6.627,0.014,-1.05E-06,0,-0.047,-3.09E-06
0.554,6.834,0.021,-1.15E-06,0,-0.036,-2.79E-06
0.563,7.039,0.028,-1.27E-06,0,-0.025,-2.20E-06
0.572,7.244,0.036,-1.39E-06,0,-0.014,-2.75E-06
