sim_time, animated_rocket?world_pose/position/x
204.671, 10
204.672, 10
204.673, 10
204.674, 10
204.675, 10
204.676, 10
204.677, 10
204.678, 10
204.679, 10
204.68, 10
204.681, 10
204.682, 10
204.683, 10
204.684, 10
204.685, 10
204.686, 10
204.687, 10
204.688, 10
204.689, 10
204.69, 10
204.691, 10
204.692, 10
204.693, 10
204.694, 10
204.695, 10
204.696, 10
204.697, 10
204.698, 10
204.699, 10
204.7, 10
204.701, 10
204.702, 10
204.703, 10
204.704, 10
204.705, 10
204.706, 10
204.707, 10
204.708, 10
204.709, 10
204.71, 10
204.711, 10
204.712, 10
204.713, 10
204.714, 10
204.715, 10
204.716, 10
204.717, 10
204.718, 10
204.719, 10
204.72, 10
204.721, 10
204.722, 10
204.723, 10
204.724, 10
204.725, 10
204.726, 10
204.727, 10
204.728, 10
204.729, 10
204.73, 10
204.731, 10
204.732, 10
204.733, 10
204.734, 10
204.735, 10
204.736, 10
204.737, 10
204.738, 10
204.739, 10
204.74, 10
204.741, 10
204.742, 10
204.743, 10
204.744, 10
204.745, 10
204.746, 10
204.747, 10
204.748, 10
204.749, 10
204.75, 10
204.751, 10
204.752, 10
204.753, 10
204.754, 10
204.755, 10
204.756, 10
204.757, 10
204.758, 10
204.759, 10
204.76, 10
204.761, 10
204.762, 10
204.763, 10
204.764, 10
204.765, 10
204.766, 10
204.767, 10
204.768, 10
204.769, 10
204.77, 10
204.771, 10
204.772, 10
204.773, 10
204.774, 10
204.775, 10
204.776, 10
204.777, 10
204.778, 10
204.779, 10
204.78, 10
204.781, 10
204.782, 10
204.783, 10
204.784, 10
204.785, 10
204.786, 10
204.787, 10
204.788, 10
204.789, 10
204.79, 10
204.791, 10
204.792, 10
204.793, 10
204.794, 10
204.795, 10
204.796, 10
204.797, 10
204.798, 10
204.799, 10
204.8, 10
204.801, 10
204.802, 10
204.803, 10
204.804, 10
204.805, 10
204.806, 10
204.807, 10
204.808, 10
204.809, 10
204.81, 10
204.811, 10
204.812, 10
204.813, 10
204.814, 10
204.815, 10
204.816, 10
204.817, 10
204.818, 10
204.819, 10
204.82, 10
204.821, 10
204.822, 10
204.823, 10
204.824, 10
204.825, 10
204.826, 10
204.827, 10
204.828, 10
204.829, 10
204.83, 10
204.831, 10
204.832, 10
204.833, 10
204.834, 10
204.835, 10
204.836, 10
204.837, 10
204.838, 10
204.839, 10
204.84, 10
204.841, 10
204.842, 10
204.843, 10
204.844, 10
204.845, 10
204.846, 10
204.847, 10
204.848, 10
204.849, 10
204.85, 10
204.851, 10
204.852, 10
204.853, 10
204.854, 10
204.855, 10
204.856, 10
204.857, 10
204.858, 10
204.859, 10
204.86, 10
204.861, 10
204.862, 10
204.863, 10
204.864, 10
204.865, 10
204.866, 10
204.867, 10
204.868, 10
204.869, 10
204.87, 10
204.871, 10
204.872, 10
204.873, 10
204.874, 10
204.875, 10
204.876, 10
204.877, 10
204.878, 10
204.879, 10
204.88, 10
204.881, 10
204.882, 10
204.883, 10
204.884, 10
204.885, 10
204.886, 10
204.887, 10
204.888, 10
204.889, 10
204.89, 10
204.891, 10
204.892, 10
204.893, 10
204.894, 10
204.895, 10
204.896, 10
204.897, 10
204.898, 10
204.899, 10
204.9, 10
204.901, 10
204.902, 10
204.903, 10
204.904, 10
204.905, 10
204.906, 10
204.907, 10
204.908, 10
204.909, 10
204.91, 10
204.911, 10
204.912, 10
204.913, 10
204.914, 10
204.915, 10
204.916, 10
204.917, 10
204.918, 10
204.919, 10
204.92, 10
204.921, 10
204.922, 10
204.923, 10
204.924, 10
204.925, 10
204.926, 10
204.927, 10
204.928, 10
204.929, 10
204.93, 10
204.931, 10
204.932, 10
204.933, 10
204.934, 10
204.935, 10
204.936, 10
204.937, 10
204.938, 10
204.939, 10
204.94, 10
204.941, 10
204.942, 10
204.943, 10
204.944, 10
204.945, 10
204.946, 10
204.947, 10
204.948, 10
204.949, 10
204.95, 10
204.951, 10
204.952, 10
204.953, 10
204.954, 10
204.955, 10
204.956, 10
204.957, 10
204.958, 10
204.959, 10
204.96, 10
204.961, 10
204.962, 10
204.963, 10
204.964, 10
204.965, 10
204.966, 10
204.967, 10
204.968, 10
204.969, 10
204.97, 10
204.971, 10
204.972, 10
204.973, 10
204.974, 10
204.975, 10
204.976, 10
204.977, 10
204.978, 10
204.979, 10
204.98, 10
204.981, 10
204.982, 10
204.983, 10
204.984, 10
204.985, 10
204.986, 10
204.987, 10
204.988, 10
204.989, 10
204.99, 10
204.991, 10
204.992, 10
204.993, 10
204.994, 10
204.995, 10
204.996, 10
204.997, 10
204.998, 10
204.999, 10
205, 10
205.001, 10
205.002, 10
205.003, 10
205.004, 10
205.005, 10
205.006, 10
205.007, 10
205.008, 10
205.009, 10
205.01, 10
205.011, 10
205.012, 10
205.013, 10
205.014, 10
205.015, 10
205.016, 10
205.017, 10
205.018, 10
205.019, 10
205.02, 10
205.021, 10
205.022, 10
205.023, 10
205.024, 10
205.025, 10
205.026, 10
205.027, 10
205.028, 10
205.029, 10
205.03, 10
205.031, 10
205.032, 10
205.033, 10
205.034, 10
205.035, 10
205.036, 10
205.037, 10
205.038, 10
205.039, 10
205.04, 10
205.041, 10
205.042, 10
205.043, 10
205.044, 10
205.045, 10
205.046, 10
205.047, 10
205.048, 10
205.049, 10
205.05, 10
205.051, 10
205.052, 10
205.053, 10
205.054, 10
205.055, 10
205.056, 10
205.057, 10
205.058, 10
205.059, 10
205.06, 10
205.061, 10
205.062, 10
205.063, 10
205.064, 10
205.065, 10
205.066, 10
205.067, 10
205.068, 10
205.069, 10
205.07, 10
205.071, 10
205.072, 10
205.073, 10
205.074, 10
205.075, 10
205.076, 10
205.077, 10
205.078, 10
205.079, 10
205.08, 10
205.081, 10
205.082, 10
205.083, 10
205.084, 10
205.085, 10
205.086, 10
205.087, 10
205.088, 10
205.089, 10
205.09, 10
205.091, 10
205.092, 10
205.093, 10
205.094, 10
205.095, 10
205.096, 10
205.097, 10
205.098, 10
205.099, 10
205.1, 10
205.101, 10
205.102, 10
205.103, 10
205.104, 10
205.105, 10
205.106, 10
205.107, 10
205.108, 10
205.109, 10
205.11, 10
205.111, 10
205.112, 10
205.113, 10
205.114, 10
205.115, 10
205.116, 10
205.117, 10
205.118, 10
205.119, 10
205.12, 10
205.121, 10
205.122, 10
205.123, 10
205.124, 10
205.125, 10
205.126, 10
205.127, 10
205.128, 10
205.129, 10
205.13, 10
205.131, 10
205.132, 10
205.133, 10
205.134, 10
205.135, 10
205.136, 10
205.137, 10
205.138, 10
205.139, 10
205.14, 10
205.141, 10
205.142, 10
205.143, 10
205.144, 10
205.145, 10
205.146, 10
205.147, 10
205.148, 10
205.149, 10
205.15, 10
205.151, 10
205.152, 10
205.153, 10
205.154, 10
205.155, 10
205.156, 10
205.157, 10
205.158, 10
205.159, 10
205.16, 10
205.161, 10
205.162, 10
205.163, 10
205.164, 10
205.165, 10
205.166, 10
205.167, 10
205.168, 10
205.169, 10
205.17, 10
205.171, 10
205.172, 10
205.173, 10
205.174, 10
205.175, 10
205.176, 10
205.177, 10
205.178, 10
205.179, 10
205.18, 10
205.181, 10
205.182, 10
205.183, 10
205.184, 10
205.185, 10
205.186, 10
205.187, 10
205.188, 10
205.189, 10
205.19, 10
205.191, 10
205.192, 10
205.193, 10
205.194, 10
205.195, 10
205.196, 10
205.197, 10
205.198, 10
205.199, 10
205.2, 10
205.201, 10
205.202, 10
205.203, 10
205.204, 10
205.205, 10
205.206, 10
205.207, 10
205.208, 10
205.209, 10
205.21, 10
205.211, 10
205.212, 10
205.213, 10
205.214, 10
205.215, 10
205.216, 10
205.217, 10
205.218, 10
205.219, 10
205.22, 10
205.221, 10
205.222, 10
205.223, 10
205.224, 10
205.225, 10
205.226, 10
